职称 地区 公司资质 要求 薪资 福利
Python开发工程师 上海-闵行区 "民营公司 " " 大专  1年" 1.1-2万/月 " 五险一金 交通补贴 通讯补贴 绩效奖金 "
Python开发工程师（深圳） 深圳 "民营公司 " " 本科  2年" 0.8-1.5万/月 " "
Python开发工程师 深圳 "民营公司 " " 大专  1年" 1-1.5万/月 " "
Python工程师 深圳 "外资（非欧美） " " 本科  无需经验" 0.8-1.5万/月 " "
Python开发工程师 中山 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 年终奖金 周末双休 "
云平台开发工程师-python（SZJ1605） 深圳-福田区 "民营公司 " " 本科  1年" 1.2-1.8万/月 " "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " "
移动端开发工程师（python/.net） 深圳 "民营公司 " " 本科  3-4年" 1-2万/月 " "
Python后端开发工程师 上海-徐汇区 "民营公司 " " 本科  1年" 1.2-1.6万/月 " 生日福利 节日福利 商业保险 七险一金 "
python工程师-AC0001-J572775 上海-黄浦区 "民营公司 " " 本科  1年" 1-1.5万/月 " "
Python开发工程师 武汉-东湖新技术产业开发区 "外资（欧美） " " 本科  1年"  " "
Python开发工程师 杭州 "民营公司 " " 本科  2年" 1.1-2.2万/月 " 五险一金 餐饮补贴 通讯补贴 弹性工作 "
Python开发高级工程师 海口-龙华区 "民营公司 " " 本科  3-4年" 0.8-1.3万/月 " 五险一金 周末双休 弹性工作 "
101026-Python开发工程师 常州-新北区 "事业单位 " " 本科  2年" 0.7-1.2万/月 " "
中级python开发程序员 武汉-江岸区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 团体意外险 通讯补贴 年终奖金 "
"Python 开发工程师" 深圳-龙华区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 专业培训 年终奖金 员工旅游 "
Python开发工程师 广州-黄埔区 "民营公司 " " 本科  1年" 1-1.5万/月 " 专业培训 全勤奖 工作环境好 下午茶 "
Python开发工程师（南方基金） 深圳-福田区 "民营公司 " " 本科  1年" 0.8-1.2万/月 " 五险一金 弹性工作 周末双休 节日福利 "
Python开发工程师 上海 "民营公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 补充医疗保险 年终奖金 "
Python开发工程师 上海-浦东新区 "合资 " " 本科  1年" 1.2-1.8万/月 " 五险一金 弹性工作 绩效奖金 年终奖金 "
Python爬虫开发工程师 广州-海珠区 "国企 " " 大专  2年" 1.1-1.8万/月 " 五险一金 绩效奖金 餐饮补贴 年底双薪 "
Python开发工程师 广州-黄埔区 "民营公司 " " 2年" 0.9-1.8万/月 " 互联网百强 "
python开发程序员 深圳-宝安区 "民营公司 " " 大专  2年" 10-20万/年 " 五险一金 全勤奖 节日福利 专业培训 "
python后端开发工程师 上海 "上市公司 " " 本科  1年" 1-1.7万/月 " 五险一金 员工旅游 定期体检 "
Python开发工程师（中级） 广州-天河区 "民营公司 " " 大专  3-4年" 1.2-1.8万/月 " 绩效奖金 员工旅游 节日福利 加班补贴 "
"Python开发工程师 (MJ000132)" 上海-徐汇区 "民营公司 " " 大专  2年" 1-1.5万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python开发工程师 广州-南沙区 "民营公司 " " 大专  1年" 1-1.5万/月 " 五险一金 专业培训 弹性工作 "
Python开发工程师 上海 "民营公司 " " 本科  2年" 1-1.5万/月 " "
Python开发工程师（互联网-本社自研） 大连-沙河口区 "民营公司 " " 大专  2年" 1-2万/月 " 六险一金 员工旅游 餐饮补贴 交通补贴 "
Python开发工程师 杭州-滨江区 "民营公司 " " 大专  2年" 1-1.5万/月 " 餐饮补贴 弹性工作 五险一金 年终奖金 "
Python开发工程师 武汉-东湖新技术产业开发区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 项目奖金 周末双休 "
Python开发工程师 福州-台江区 "民营公司 " " 本科  2年" 0.8-1.4万/月 " 五险一金 弹性工作 年底双薪 员工旅游 "
Python开发工程师 成都-青羊区 "民营公司 " " 1年" 0.7-1.2万/月 " 五险一金 专业培训 绩效奖金 弹性工作 "
Python开发工程师 苏州-姑苏区 "民营公司 " " 大专  1年" 0.5-1.5万/月 " 五险一金 弹性工作时间 员工旅游 年终奖金 "
Python开发工程师 广州-黄埔区 "民营公司 " " 大专  2年" 0.6-1万/月 " 绩效奖金 弹性工作 年终奖金 员工旅游 "
"后端工程师（Python /数据挖掘）" 北京-海淀区 "民营公司 " " 本科  3-4年" 1.8-2.8万/月 " 五险一金 通讯补贴 年终奖金 定期体检 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
软件工程师（python） 上海-嘉定区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 绩效奖金 弹性工作 定期体检 "
Python开发工程师 武汉-江夏区 "民营公司 " " 本科  1年" 0.8-1万/月 " 补充医疗保险 定期体检 加班补助 节日福利 "
Python开发工程师 哈尔滨-香坊区 "民营公司 " " 本科  1年" 6-9千/月 " 五险一金 周末双休 免费班车 定期体检 "
"高级 Python 程序员" 东莞-南城区 "民营公司 " " 3-4年" 2.5-3.5万/月 " 五险 员工旅游 股票期权 年终奖金 "
"python 爬虫开发" 青岛-黄岛区 "民营公司 " " 本科  1年" 5-9千/月 " 五险一金 年终奖金 绩效奖金 年终分红 "
Python架构师 长沙-雨花区 "外资（非欧美） " " 本科  5-7年" 1.5-2.5万/月 " 通讯补贴 专业培训 绩效奖金 年终奖金 "
Python后台开发工程师 重庆-渝北区 "民营公司 " " 本科  2年" 0.8-1万/月 " 餐饮补贴 定期体检 年终奖金 绩效奖金 "
Python开发工程师 上海-徐汇区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 补充公积金 餐饮补贴 定期体检 "
Python开发工程师 深圳 "外资（非欧美） " " 本科  1年" 2-2.5万/月 " "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  1年" 1.5-2万/月 " 五险一金 员工旅游 专业培训 弹性工作 "
Python量化开发工程师 广州-天河区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 年终奖金 绩效奖金 "
Python高级开发工程师 上海-浦东新区 "合资 " " 大专  5-7年" 1.5-2.5万/月 " 五险一金 餐饮补贴 年终奖金 弹性工作 "
（高级）AI人工智能平台工程师（Python） 上海-浦东新区 "外资（欧美） " " 本科  2年" 2-3万/月 " 餐饮补贴 通讯补贴 专业培训 定期体检 "
"python 开发工程师" 上海-浦东新区 "上市公司 " " 本科  3-4年" 2-3万/月 " 五险一金 定期体检 13薪 绩效奖金 "
Python开发工程师 北京-朝阳区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 通讯补贴 年终奖金 "
Python开发工程师 深圳-宝安区 "民营公司 " " 本科  5-7年" 1.5-3万/月 " 加班补贴 定期体检 零食下午茶 人体工学座椅 "
python开发工程师 上海-闵行区 "民营公司 " " 大专  1年" 6-8千/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师s 杭州-上城区 "合资 " " 大专  3-4年" 1.5-2.5万/月 " 五险一金 周末双休 法定节假日 团建 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  2年" 1.5-2.5万/月 " 五险一金 股票期权 弹性工作 带薪假期 "
Python开发工程师 东莞 "民营公司 " " 本科  2年" 1.5-2.5万/月 " "
Python开发工程师 苏州-工业园区 "合资 " " 本科  1年" 0.5-1万/月 " 五险一金 员工旅游 定期体检 年终奖金 "
Python开发工程师 青岛-市北区 "民营公司 " " 大专  2年" 1.5-2.5万/月 " 五险一金 定期体检 双休 十三薪 "
"Python / Java 开发工程师 - 双休 海曙区" 宁波-海曙区 "外资（非欧美） " " 本科  2年" 6-9千/月 " 五险一金 加班很少 年终奖金 绩效奖金 "
软件开发(HTML5、.net、Python) 无锡-锡山区 "民营公司 " " 无需经验" 0.5-1万/月 " 五险一金 绩效奖金 员工旅游 通讯补贴 "
Python开发工程师 上海 "国企 " " 本科  2年" 1.1-1.3万/月 " 五险一金 定期体检 年终奖金 绩效奖金 "
python（上海） 上海-徐汇区 "民营公司 " " 本科  3-4年" 1.4-1.6万/月 " 五险一金 年终奖金 弹性工作 "
Python+pySpark 上海-浦东新区 "外资（欧美） " " 本科  3-4年" 1.2-2.4万/月 " 五险一金 补充医疗保险 免费班车 员工旅游 "
GIS20108101-Python开发工程师 深圳-南山区 "民营公司 " " 大专  2年" 1.2-1.8万/月 " 五险一金 员工旅游 定期体检 绩效奖金 "
"Python 后端开发" 上海-浦东新区 "民营公司 " " 本科  3-4年" 1-1.4万/月 " 五险一金 员工旅游 定期体检 "
Python开发工程师 广州-天河区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 年终奖金 弹性工作 周末双休 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  2年" 0.9-1.5万/月 " 五险一金 弹性工作 下午茶 定期团建 "
python爬虫工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " 五险一金 年终奖金 定期体检 带薪年假 "
Python开发工程师 北京-朝阳区 "外资（非欧美） " " 本科  3-4年" 1.2-1.5万/月 " 五险一金 定期体检 出国机会 员工旅游 "
Python开发工程师 广州-天河区 "创业公司 " " 本科  3-4年" 1.2-2.4万/月 " "
Python开发工程师 深圳-宝安区 "民营公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 带薪年假 节日福利 全勤奖 "
Python开发工程师 上海 "上市公司 " " 大专  3-4年" 1.4-1.8万/月 " "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
